;name;year;s;sdate;e;edate;dur
127;Болван Нос;2005.0;2005-02-16 00:00:00;47.0;2005-12-07 00:00:00;341.0;294.0
128;Болван Нос;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
129;Болван Нос;2007.0;2007-04-18 00:00:00;108.0;2007-12-19 00:00:00;353.0;245.0
130;Болван Нос;2008.0;2008-01-23 00:00:00;23.0;2008-12-30 00:00:00;365.0;342.0
131;Болван Нос;2009.0;2009-01-14 00:00:00;14.0;2009-12-08 00:00:00;342.0;328.0
132;Болван Нос;2010.0;2010-06-29 00:00:00;180.0;2010-11-16 00:00:00;320.0;140.0
133;Болван Нос;2011.0;2011-05-24 00:00:00;144.0;2011-11-01 00:00:00;305.0;161.0
134;Болван Нос;2012.0;2012-01-10 00:00:00;10.0;2012-12-18 00:00:00;353.0;343.0
135;Болван Нос;2013.0;2013-07-30 00:00:00;211.0;2013-07-30 00:00:00;211.0;0.0
136;Болван Нос;2014.0;-99;-99.0;-99;-99.0;-99.0
137;Болван Нос;2015.0;-99;-99.0;-99;-99.0;-99.0
138;Болван Нос;2016.0;-99;-99.0;-99;-99.0;-99.0
139;Болван Нос;2017.0;-99;-99.0;-99;-99.0;-99.0
140;Болван Нос;2018.0;2018-07-20 00:00:00;201.0;2018-08-17 00:00:00;229.0;28.0
141;Болван Нос;2019.0;2019-10-29 00:00:00;302.0;2019-12-31 00:00:00;365.0;63.0
142;Болван Нос;2020.0;2020-05-19 00:00:00;140.0;2020-10-27 00:00:00;301.0;161.0
143;Болван Нос;2021.0;2021-05-25 00:00:00;145.0;2021-09-21 00:00:00;264.0;119.0
144;Амдерма;1998.0;1998-10-14 00:00:00;287.0;1998-10-14 00:00:00;287.0;0.0
145;Амдерма;1999.0;1999-08-04 00:00:00;216.0;1999-10-27 00:00:00;300.0;84.0
146;Амдерма;2000.0;2000-06-28 00:00:00;180.0;2000-11-29 00:00:00;334.0;154.0
147;Амдерма;2001.0;-99;-99.0;-99;-99.0;-99.0
148;Амдерма;2002.0;2002-07-16 00:00:00;197.0;2002-11-05 00:00:00;309.0;112.0
149;Амдерма;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
150;Амдерма;2004.0;2004-07-14 00:00:00;196.0;2004-12-22 00:00:00;357.0;161.0
151;Амдерма;2005.0;2005-02-16 00:00:00;47.0;2005-12-07 00:00:00;341.0;294.0
152;Амдерма;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
153;Амдерма;2007.0;2007-04-18 00:00:00;108.0;2007-12-19 00:00:00;353.0;245.0
154;Амдерма;2008.0;2008-01-23 00:00:00;23.0;2008-12-30 00:00:00;365.0;342.0
155;Амдерма;2009.0;2009-01-14 00:00:00;14.0;2009-12-08 00:00:00;342.0;328.0
156;Амдерма;2010.0;2010-06-29 00:00:00;180.0;2010-11-16 00:00:00;320.0;140.0
157;Амдерма;2011.0;2011-05-24 00:00:00;144.0;2011-11-01 00:00:00;305.0;161.0
158;Амдерма;2012.0;2012-01-10 00:00:00;10.0;2012-12-18 00:00:00;353.0;343.0
159;Амдерма;2013.0;2013-07-30 00:00:00;211.0;2013-07-30 00:00:00;211.0;0.0
160;Амдерма;2014.0;-99;-99.0;-99;-99.0;-99.0
161;Амдерма;2015.0;-99;-99.0;-99;-99.0;-99.0
162;Амдерма;2016.0;-99;-99.0;-99;-99.0;-99.0
163;Амдерма;2017.0;-99;-99.0;-99;-99.0;-99.0
164;Амдерма;2018.0;2018-07-20 00:00:00;201.0;2018-08-17 00:00:00;229.0;28.0
165;Амдерма;2019.0;2019-10-29 00:00:00;302.0;2019-12-31 00:00:00;365.0;63.0
